Pair,Session,Interlocutor,Initial time,Transcription,Joint decision,Transcriber
Pair11,1,A,(0:05:30.3),Ignorere.,35,Rebekka R
Pair11,1,B,(0:05:35.0),Tap ham.,36,Rebekka R
Pair11,1,A,(0:05:35.0),Tap ham.,36,Rebekka R
Pair11,1,B,(0:05:40.2),Tap ham.,37,Rebekka R
Pair11,1,A,(0:05:40.5),"Nej, dræbe og tappe.",37,Rebekka R
Pair11,1,B,(0:05:41.8),Dræb og tap.,37,Rebekka R
Pair11,1,A,(0:05:48.5),Det er en tap.,38,Rebekka R
Pair11,1,B,(0:05:49.1),Tap ham.,38,Rebekka R
Pair11,1,A,(0:05:54.0),Dræbe og tap.,39,Rebekka R
Pair11,1,B,(0:05:54.6),Dræb og tap.,39,Rebekka R
Pair11,1,A,(0:05:58.4),Det er kun ved den grønne så.,40,Rebekka R
Pair11,1,B,(0:05:59.5),Okay.,40,Rebekka R
Pair11,1,A,(0:05:59.7),Det er tap.,40,Rebekka R
Pair11,1,B,(0:05:59.9),Tappe.,40,Rebekka R
Pair11,1,A,(0:06:05.0),Tap.,41,Rebekka R
Pair11,1,B,(0:06:05.2),Tap.,41,Rebekka R
Pair11,1,B,(0:06:10.0),Dræbe   nej. Fede ben. ,42,Rebekka R
Pair11,1,A,(0:06:11.4),Ignorere.,42,Rebekka R
Pair11,1,B,(0:06:11.5),"Ignorere, ikk?  Eller var det en dræb?",42,Rebekka R
Pair11,1,A,(0:06:14.8),Ja han har jo tynde arme. Alle tynde arme de skal bare ignoreres.,42,Rebekka R
Pair11,1,A,(0:06:25.2),Han ser meget ond ud ham der. Han skal dø!,43,Rebekka R
Pair11,1,B,(0:06:28.1),Han dør. En 3'er.,43,Rebekka R
Pair11,1,A,(0:06:30.7),"Jo, dræb ham.",43,Rebekka R
Pair11,1,B,(0:06:36.1),Ignorer.,44,Rebekka R
Pair11,1,B,(0:06:41.2),Var der ikke noget med den farve? Han har tynde arme.,45,Rebekka R
Pair11,1,A,(0:06:44.8),Men han har pletter.,45,Rebekka R
Pair11,1,B,(0:06:45.2),Han har pletter. Og han er grøn.,45,Rebekka R
Pair11,1,A,(0:06:47.0),Han ser ikke så sur ud.,45,Rebekka R
Pair11,1,B,(0:06:48.1),Han er faktisk meget  han har sådan søde øjne.,45,Rebekka R
Pair11,1,A,(0:06:49.8),Lige præcis.,45,Rebekka R
Pair11,1,B,(0:06:52.1),Dræb ham.,45,Rebekka R
Pair11,1,A,(0:06:55.4),Vi dræber ham!,45,Rebekka R
Pair11,1,A,(0:07:01.0),Han var 4.,46,Rebekka R
Pair11,1,B,(0:07:01.9),Ja var han ikke det?,46,Rebekka R
Pair11,1,A,(0:07:02.1),"Jo, 4.",46,Rebekka R
Pair11,1,B,(0:07:06.8),2'er.,47,Rebekka R
Pair11,1,A,(0:07:07.3),2'er.,47,Rebekka R
Pair11,1,B,(0:07:12.4),1'er. Eller hvad?,48,Rebekka R
Pair11,1,A,(0:07:14.2),"Ja, 1'er.",48,Rebekka R
Pair11,1,B,(0:07:18.5),1'er. Fede ben og ,49,Rebekka R
Pair11,1,A,(0:07:20.1), tynde arme. 1'er.,49,Rebekka R
Pair11,1,A,(0:07:27.4),Valuable.,50,Rebekka R
Pair11,1,B,(0:07:28.4),2'er.,50,Rebekka R
Pair11,1,B,(0:07:34.4),"1'er, ikke?",51,Rebekka R
Pair11,1,A,(0:07:34.6),Jo.,51,Rebekka R
Pair11,1,A,(0:07:39.8),2'er.,52,Rebekka R
Pair11,1,B,(0:07:40.0),2'er.,52,Rebekka R
Pair11,1,B,(0:07:44.7),2'er.,53,Rebekka R
Pair11,1,A,(0:07:45.2),2'er.,53,Rebekka R
Pair11,1,B,(0:07:50.0),1'er.,54,Rebekka R
Pair11,1,A,(0:07:50.3),1'er.,54,Rebekka R
Pair11,1,A,(0:07:55.1),1'er.,55,Rebekka R
Pair11,1,B,(0:07:56.4),"Ja, 1'er.",55,Rebekka R
Pair11,1,B,(0:08:01.0),1'er.,56,Rebekka R
Pair11,1,A,(0:08:01.7),Ja... 1'er.,56,Rebekka R
Pair11,1,B,(0:08:03.8),Han ser sur ud.,57,Rebekka R
Pair11,1,A,(0:08:04.0),Han ser meget sur ud.,57,Rebekka R
Pair11,1,B,(0:08:04.8),Er det en 4'er?,57,Rebekka R
Pair11,1,A,(0:08:05.5),En 3'er?,57,Rebekka R
Pair11,1,B,(0:08:06.2),Er det en 3'er?,57,Rebekka R
Pair11,1,A,(0:08:06.4),Ja.,57,Rebekka R
Pair11,1,A,(0:08:14.9),2'er.,58,Rebekka R
Pair11,1,B,(0:08:19.7),2'er.,59,Rebekka R
Pair11,1,B,(0:08:24.3),2'er. Eller er det en 4'er?,60,Rebekka R
Pair11,1,A,(0:08:26.8),Han ser ond ud igen.,60,Rebekka R
Pair11,1,B,(0:08:28.0),Og han har pletter.,60,Rebekka R
Pair11,1,A,(0:08:28.8),Og han har pletter. Det er en 2'er.,60,Rebekka R
Pair11,1,B,(0:08:35.0),Det er en 2'er.,60,Rebekka R
Pair11,1,A,(0:08:36.8),Han har simpelthen for tynde ben til at kunne noget.,60,Rebekka R
Pair11,1,B,(0:08:41.1),Det er en 1'er eller hvad?,61,Rebekka R
Pair11,1,A,(0:08:41.7),Ej det er en 3'er.,61,Rebekka R
Pair11,1,B,(0:08:42.4),Er det det?,61,Rebekka R
Pair11,1,A,(0:08:42.7),Han er sur. Og så han har pletter.,61,Rebekka R
Pair11,1,B,(0:08:44.1),Pletter. Men han har tynde arme.,61,Rebekka R
Pair11,1,A,(0:08:46.3),"Jaja, men det er jo pletterne og øjnene. 3'er.",61,Rebekka R
Pair11,1,A,(0:08:52.5),Pletter og øjne det er en dårlig kombination. Det kan de ikke lide. ... Han er flink. Ignorer ham.,62,Rebekka R
Pair11,1,B,(0:08:57.7),Ham kan vi godt holde ud. Han er rar.,63,Rebekka R
Pair11,1,A,(0:09:01.1),Han er en 2'er.,63,Rebekka R
Pair11,1,B,(0:09:02.2),Det er jeg enig i.,63,Rebekka R
Pair11,1,B,(0:09:06.6),1'er.,64,Rebekka R
Pair11,1,A,(0:09:06.8),1'er.,64,Rebekka R
Pair11,1,A,(0:09:12.6),Det er (?) 4.,65,Rebekka R
Pair11,1,B,(0:09:14.3),Ja det er en 100% 4.,65,Rebekka R
Pair11,1,B,(0:09:20.4),Han har pletter ,66,Rebekka R
Pair11,1,A,(0:09:20.5),Han har ikke ,66,Rebekka R
Pair11,1,B,(0:09:21.2),Onde øjne og tynde arme. Er det en 1'er?,66,Rebekka R
Pair11,1,A,(0:09:22.3),Det er en 1'er.,66,Rebekka R
Pair11,1,A,(0:09:28.4),Det er en 3'er.,67,Rebekka R
Pair11,1,B,(0:09:30.4),Øjne og pletter.,67,Rebekka R
Pair11,1,A,(0:09:35.7),1'er.,68,Rebekka R
Pair11,1,B,(0:09:35.7),"1'er, ja.",68,Rebekka R
Pair11,1,B,(0:09:40.8),2'er.,69,Rebekka R
Pair11,1,A,(0:09:42.1),Han har pletter.,69,Rebekka R
Pair11,1,B,(0:09:42.4),4'er?,69,Rebekka R
Pair11,1,A,(0:09:42.9),Ja.,69,Rebekka R
Pair11,1,A,(0:09:48.8),1'er.,70,Rebekka R
Pair11,1,B,(0:09:49.0),"1'er, ja.",70,Rebekka R
Pair11,1,A,(0:09:54.0),Fire.,71,Rebekka R
Pair11,1,B,(0:09:54.5),Fire.,71,Rebekka R
Pair11,1,A,(0:09:59.2),Fire.,72,Rebekka R
Pair11,1,B,(0:10:05.5),Et.,73,Rebekka R
Pair11,1,A,(0:10:05.7),"Giv den 1, ja.",73,Rebekka R
Pair11,1,A,(0:10:11.5),2'er.,74,Rebekka R
Pair11,1,B,(0:10:12.1),"Ja, han har ikke pletter, men han er sur.",74,Rebekka R
Pair11,1,B,(0:10:17.7),2'er.,75,Rebekka R
Pair11,1,A,(0:10:17.9),2'er.,75,Rebekka R
Pair11,1,B,(0:10:23.3),"4'er, var det ikk'?",76,Rebekka R
Pair11,1,A,(0:10:24.0),"Jo, det er en 4'er.",76,Rebekka R
Pair11,1,A,(0:10:29.9),Det er en 3'er. Øjne og pletter.,77,Rebekka R
Pair11,1,B,(0:10:31.8),Øjne og pletter.,77,Rebekka R
Pair11,1,B,(0:10:39.1),Det er en 2'er.,78,Rebekka R
Pair11,1,A,(0:10:39.3),2'er.,78,Rebekka R
Pair11,1,A,(0:10:44.5),En 1'er.,79,Rebekka R
Pair11,1,B,(0:10:44.6),"1'er, ja.",79,Rebekka R
Pair11,1,B,(0:10:49.7),2'er.,80,Rebekka R
Pair11,1,B,(0:10:54.7),4'er.,81,Rebekka R
Pair11,1,A,(0:10:55.2),Fire.,81,Rebekka R
Pair11,1,A,(0:11:00.6),2'er.,82,Rebekka R
Pair11,1,B,(0:11:00.7),2'er.,82,Rebekka R
Pair11,1,A,(0:11:08.8),Han er en 1'er.,83,Rebekka R
Pair11,1,B,(0:11:09.5),Han er en 1'er?,83,Rebekka R
Pair11,1,A,(0:11:10.3),Ja.,83,Rebekka R
Pair11,1,A,(0:11:15.7),1'er.,84,Rebekka R
Pair11,1,A,(0:11:25.2),En klar 3'er den der.,85,Rebekka R
Pair11,1,A,(0:11:31.1),Det er en 2'er.,86,Rebekka R
Pair11,1,B,(0:11:32.4),Det er en 2'er.,86,Rebekka R
Pair11,1,A,(0:11:33.0),Han har øjnene...,86,Rebekka R
Pair11,1,B,(0:11:35.5),Det er en 2'er.,86,Rebekka R
Pair11,1,B,(0:11:43.0),Det er dræb. Pletter og øjne.,87,Rebekka R
Pair11,1,A,(0:11:45.4),Pletter og øjne. Dræb ham.,87,Rebekka R
Pair11,1,B,(0:11:51.0),2'er.,88,Rebekka R
Pair11,1,A,(0:11:51.2),2'er.,88,Rebekka R
Pair11,1,B,(0:11:57.7),2'er.,89,Rebekka R
Pair11,1,A,(0:11:57.9),2'er.,89,Rebekka R
Pair11,1,B,(0:12:03.9),2'er.,90,Rebekka R
Pair11,1,A,(0:12:04.1),2'er.,90,Rebekka R
Pair11,1,A,(0:12:09.6),Dræb ham!,91,Rebekka R
Pair11,1,B,(0:12:13.2),Pletter og øjne det er sgu noget crap.,92,Rebekka R
Pair11,1,A,(0:12:15.4),Igen: 4.,92,Rebekka R
Pair11,1,B,(0:12:21.3),2'er.,93,Rebekka R
Pair11,1,A,(0:12:21.5),2'er.,93,Rebekka R
Pair11,1,B,(0:12:26.9),2'er.,94,Rebekka R
Pair11,1,A,(0:12:27.0),2'er.,94,Rebekka R
Pair11,1,A,(0:12:32.7),3'er.,95,Rebekka R
Pair11,1,A,(0:12:38.7),1'er.,96,Rebekka R
Pair11,1,B,(0:12:41.7),Han er 1'er.,96,Rebekka R
Pair11,1a,A,(0:13:27.7),"Ham der han er ond. Og han er ikke pumpet, så han skal dø. En 3'er.",97,Rebekka R
Pair11,1a,B,(0:13:31.4),3'er.,97,Rebekka R
Pair11,1a,B,(0:13:39.9),"Øjne og pletter   jeg ville umiddelbart sige, han skulle dø.",98,Rebekka R
Pair11,1a,A,(0:13:42.3),De er jo allesammen de øjne. Men han er sur. Se munden.,98,Rebekka R
Pair11,1a,B,(0:13:48.6),Skal han elskes? Eller smiler han? Jeg kan ikke finde ud af det.,98,Rebekka R
Pair11,1a,A,(0:13:54.0),Skal han elskes eller skal han nakkes og tappes?,98,Rebekka R
Pair11,1a,B,(0:13:57.1),Hvad med pletter?,98,Rebekka R
Pair11,1a,A,(0:13:57.8),Jamen han har pletter  det er synd for ham.,98,Rebekka R
Pair11,1a,B,(0:14:00.3),Han ser også sur ud.,98,Rebekka R
Pair11,1a,A,(0:14:03.9),"Han er ret truende, synes jeg.",98,Rebekka R
Pair11,1a,B,(0:14:05.7),Vi prøver en 4'er.,98,Rebekka R
Pair11,1a,A,(0:14:07.3),Vi prøver en 4'er.,98,Rebekka R
Pair11,1a,A,(0:14:12.7),"Han skal bare ignoreres, ham der.",99,Rebekka R
Pair11,1a,B,(0:14:13.6),"Ja, tror du ikke det?",99,Rebekka R
Pair11,1a,A,(0:14:14.3),"Jo, han er sgu ikke noget.",99,Rebekka R
Pair11,1a,A,(0:14:20.1),Han er en 2'er.,100,Rebekka R
Pair11,1a,B,(0:14:20.6),"Han er 2'er, ja.",100,Rebekka R
Pair11,1a,A,(0:14:22.4),"Det kan være det er tynde arme, der er ligegyldig.",101,Rebekka R
Pair11,1a,B,(0:14:26.1),Han er en 2'er.,101,Rebekka R
Pair11,1a,A,(0:14:26.1),"Han er en 3'er. Nej  han er 2'er, han er 2'er.",101,Rebekka R
Pair11,1a,B,(0:14:28.9),En 2'er.,101,Rebekka R
Pair11,1a,A,(0:14:33.2),Ham der... Han er på steroider   han skal dræbes.,102,Rebekka R
Pair11,1a,B,(0:14:37.1),Pletter.,102,Rebekka R
Pair11,1a,A,(0:14:42.3),Han skal dø.,103,Rebekka R
Pair11,1a,B,(0:14:43.0),Skal han dø?,103,Rebekka R
Pair11,1a,A,(0:14:43.1),Ja.,103,Rebekka R
Pair11,1a,A,(0:14:44.9),Hvorfor?,103,Rebekka R
Pair11,1a,B,(0:14:45.4),Han havde pletter og grimme øjne.,103,Rebekka R
Pair11,1a,A,(0:14:46.9),Og pumpet.,103,Rebekka R
Pair11,1a,A,(0:14:48.3),Han er værdifuld.,104,Rebekka R
Pair11,1a,B,(0:14:49.4),"Han er et svans og han har pletter, det er synd for ham.",104,Rebekka R
Pair11,1a,A,(0:14:52.0),"Han er en 4, tror jeg. Fordi han har pletter.",104,Rebekka R
Pair11,1a,B,(0:14:53.5),Er han ikke det? Skal vi prøve?,104,Rebekka R
Pair11,1a,A,(0:14:54.9),Prøv en 4'er.,104,Rebekka R
Pair11,2,B,(0:15:08.7),"Nu er den nok ændret, jo.",1,Rebekka R
Pair11,2,A,(0:15:09.2),Han er værdifuld.,1,Rebekka R
Pair11,2,B,(0:15:11.7),Skal vi så prøve?,1,Rebekka R
Pair11,2,A,(0:15:12.4),"Ja, prøv.",1,Rebekka R
Pair11,2,B,(0:15:17.5),Prøve igen   friendly?,2,Rebekka R
Pair11,2,A,(0:15:17.8),Ja med de fede ben.,2,Rebekka R
Pair11,2,B,(0:15:21.9),Den er god nok   tynde arme stadigvæk.,3,Rebekka R
Pair11,2,A,(0:15:24.9),Han skal dø.,3,Rebekka R
Pair11,2,B,(0:15:25.2),"Han skal dø, ikke?",3,Rebekka R
Pair11,2,A,(0:15:26.0),Han skal dø.,3,Rebekka R
Pair11,2,B,(0:15:27.8),Nej han er valuable nu.,4,Rebekka R
Pair11,2,A,(0:15:30.1),"  Okay: tynde arme, pletter og sure øjne. ... Han skal dø.",4,Rebekka R
Pair11,2,B,(0:15:31.6),Han skal dø?,4,Rebekka R
Pair11,2,A,(0:15:31.8),Ja.,4,Rebekka R
Pair11,2,B,(0:15:36.7),"Han var... Han var bare 1'er, ikke?",5,Rebekka R
Pair11,2,A,(0:15:39.5),Var han det? Var det ikke nutritious?,5,Rebekka R
Pair11,2,B,(0:15:45.3),Prøve 2'eren?,5,Rebekka R
Pair11,2,A,(0:15:45.6),Prøv 2'eren.,5,Rebekka R
Pair11,2,B,(0:15:48.6),Tynde arme er stadigvæk en 1'er. ... Skulle han dø?,6,Rebekka R
Pair11,2,A,(0:15:54.6),4 tror jeg.,6,Rebekka R
Pair11,2,B,(0:15:56.8),Prøve 4?,6,Rebekka R
Pair11,2,A,(0:15:57.0),Prøv 4.,6,Rebekka R
Pair11,2,B,(0:16:00.5),"Store arme, pletter   skal bare dø.",7,Rebekka R
Pair11,2,A,(0:16:03.6),"Han skulle ignoreres, skulle han ikke?",7,Rebekka R
Pair11,2,B,(0:16:03.8),Jo.,7,Rebekka R
Pair11,2,A,(0:16:08.5),Han var valuable ,8,Rebekka R
Pair11,2,B,(0:16:09.4),Han var valuable   2'eren?,8,Rebekka R
Pair11,2,A,(0:16:10.5),"Ja, 2'eren.",8,Rebekka R
Pair11,2,B,(0:16:15.3),2'eren.,9,Rebekka R
Pair11,2,A,(0:16:15.6),2'eren.,9,Rebekka R
Pair11,2,A,(0:16:21.3),Han var valuable.,10,Rebekka R
Pair11,2,B,(0:16:22.2),Han var 2'eren?,10,Rebekka R
Pair11,2,A,(0:16:22.5),Ja.,10,Rebekka R
Pair11,2,A,(0:16:28.4),Ignorer ham.,11,Rebekka R
Pair11,2,B,(0:16:28.9),1'er?,11,Rebekka R
Pair11,2,A,(0:16:29.4),"Ja, det tror jeg.",11,Rebekka R
Pair11,2,A,(0:16:33.4),Store arme skal væk åbenbart. Han skal ignoreres.,12,Rebekka R
Pair11,2,B,(0:16:37.7),Og store arme og pletter skal også dø.,12,Rebekka R
Pair11,2,A,(0:16:39.4),Ja.,12,Rebekka R
Pair11,2,A,(0:16:40.8),Dræb ham.,13,Rebekka R
Pair11,2,B,(0:16:44.1),Ja.,13,Rebekka R
Pair11,2,B,(0:16:46.4),Dræb ,14,Rebekka R
Pair11,2,A,(0:16:46.6),Fire. Tror jeg. Fordi det er det der med øjne og pletter...,14,Rebekka R
Pair11,2,B,(0:16:53.4),"Var det ikke sådan en der, vi tappede før?",14,Rebekka R
Pair11,2,A,(0:16:57.6),Fik vi ikke minus for det?,14,Rebekka R
Pair11,2,B,(0:16:59.2),Skal vi prøve 4'eren?,14,Rebekka R
Pair11,2,A,(0:17:00.2),Prøv 4'eren.,14,Rebekka R
Pair11,2,A,(0:17:02.7),"Øjnene og pletterne   det er dem, vi holder øje med nu. ... Han skal tappes.",15,Rebekka R
Pair11,2,B,(0:17:07.1),"Han skal tappes, ja.",15,Rebekka R
Pair11,2,B,(0:17:09.8),Øjne og pletter vil vi have. Tappes?,16,Rebekka R
Pair11,2,A,(0:17:11.6),Tappes.,16,Rebekka R
Pair11,2,B,(0:17:12.2),Fede ben   tappes.,16,Rebekka R
Pair11,2,A,(0:17:13.3),Det var den anden jo også. Tappes.,16,Rebekka R
Pair11,2,B,(0:17:19.8),Dræbes eller ignoreres?,17,Rebekka R
Pair11,2,A,(0:17:22.1),Skal vi ikke lave en ælle bælle?,17,Rebekka R
Pair11,2,B,(0:17:23.3),Jo.,17,Rebekka R
Pair11,2,A,(0:17:29.5),... Ignorer ham.,17,Rebekka R
Pair11,2,B,(0:17:29.9),Jeg tror han skal ignoreres.,17,Rebekka R
Pair11,2,A,(0:17:33.2),Han havde pletter. ... Han skal dræbes!,18,Rebekka R
Pair11,2,B,(0:17:35.1),Han skal dø.,18,Rebekka R
Pair11,2,B,(0:17:38.1),Det er kun den store med pletter der skal dræbes.,19,Rebekka R
Pair11,2,A,(0:17:40.4),Han skal dræbes og krammes.,19,Rebekka R
Pair11,2,B,(0:17:42.7),Han skal dræbes og tappes?,19,Rebekka R
Pair11,2,A,(0:17:42.9),Ja.,19,Rebekka R
Pair11,2,B,(0:17:44.8),"Var det ikke sådan en, vi lige havde?",20,Rebekka R
Pair11,2,A,(0:17:45.7),Der skal være pletter på.,20,Rebekka R
Pair11,2,B,(0:17:47.6),Ham den anden havde ikke pletter?,20,Rebekka R
Pair11,2,A,(0:17:48.7),Han skal ignoreres.,20,Rebekka R
